Repositorio,Criado Em,Estrelas,Linguagens,Frequencia issues
mattermost/mattermost,2015-06-15T06:50:02Z,38840,"TypeScript, Go, JavaScript, SCSS, HTML",37 issues/mês
aseprite/aseprite,2014-08-19T23:44:50Z,38837,"C++, Lua, CMake, Shell, C",42 issues/mês
rapid7/metasploit-framework,2011-08-30T06:13:20Z,38831,"Ruby, PowerShell, C, Python, HTML",37 issues/mês
RSSNext/Folo,2024-04-08T03:23:35Z,38826,"TypeScript, Swift, CSS, JavaScript, HTML",12 issues/mês
preactjs/preact,2015-09-11T02:40:18Z,38824,"JavaScript, TypeScript",2 issues/mês
Dogfalo/materialize,2014-09-12T19:35:38Z,38817,"JavaScript, CSS, HTML",0 issues/mês
YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,38817,"Java, PLpgSQL, TSQL, Python, Shell",23 issues/mês
DioxusLabs/dioxus,2021-01-15T01:57:26Z,38812,"Rust, HTML, R, JavaScript, TypeScript",25 issues/mês
spacedriveapp/spacedrive,2021-09-27T05:09:04Z,38794,"Rust, TypeScript, Python, Swift, Shell",2 issues/mês
lapce/lapce,2018-02-06T08:41:06Z,38748,"Rust, Dockerfile, HCL, Makefile, Shell",3 issues/mês
ajeetdsouza/zoxide,2020-03-05T13:11:40Z,38727,"Rust, Shell, Just, Nix",6 issues/mês
ant-design/ant-design-pro,2017-08-25T10:40:44Z,38680,"TypeScript, JavaScript, CSS, Less",6 issues/mês
Yeachan-Heo/oh-my-claudecode,2026-01-09T03:36:29Z,38669,"TypeScript, JavaScript, Shell, Python, Dockerfile",75 issues/mês
bytedance/UI-TARS-desktop,2025-01-19T09:04:43Z,38642,"TypeScript, MDX, JavaScript, CSS, Less",3 issues/mês
naptha/tesseract.js,2015-06-24T02:49:52Z,38638,"JavaScript, HTML",1 issues/mês
gto76/python-cheatsheet,2018-01-25T04:16:53Z,38635,"Python, JavaScript, HTML, CSS",0 issues/mês
google-research/google-research,2018-10-04T18:42:48Z,38582,"Jupyter Notebook, Python, C++, JavaScript, Shell",5 issues/mês
chatchat-space/Langchain-Chatchat,2023-03-31T12:12:45Z,38553,"Python, Shell, Makefile, Dockerfile",3 issues/mês
kilimchoi/engineering-blogs,2015-06-13T18:25:17Z,38524,Ruby,0 issues/mês
huiyadanli/RevokeMsgPatcher,2019-07-21T15:12:52Z,38523,C#,37 issues/mês
google/langextract,2025-07-08T20:46:06Z,38439,"Python, Shell, Dockerfile",2 issues/mês
httpie/cli,2012-02-25T12:39:13Z,38431,"Python, Roff, Shell, Makefile, Dockerfile",1 issues/mês
dotnet/aspnetcore,2014-03-11T06:09:42Z,38378,"C#, HTML, TypeScript, C++, Java",Múltiplas issues no mesmo dia
istio/istio,2016-11-18T23:57:21Z,38359,"Go, Shell, Makefile, CSS, Jsonnet",75 issues/mês
portainer/portainer,2016-05-19T20:15:28Z,38271,"TypeScript, Go, JavaScript, HTML, CSS",15 issues/mês
frappe/erpnext,2011-06-08T08:20:56Z,38264,"Python, JavaScript, TypeScript, HTML, SCSS",300 issues/mês
umami-software/umami,2020-07-17T07:59:00Z,38258,"TypeScript, JavaScript, CSS, Dockerfile, Shell",75 issues/mês
sqlmapproject/sqlmap,2012-06-26T09:52:15Z,38224,"Python, Shell, C, Perl, C++",11 issues/mês
PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,38194,Java,0 issues/mês
impress/impress.js,2011-12-28T22:23:19Z,38174,"JavaScript, HTML, CSS",0 issues/mês
huihut/interview,2018-02-09T09:49:48Z,38140,"C++, C, CMake",0 issues/mês
ueberdosis/tiptap,2018-08-20T19:58:58Z,38075,"TypeScript, JavaScript, Shell",42 issues/mês
xyflow/xyflow,2019-07-15T14:47:30Z,38054,"TypeScript, Svelte, CSS, JavaScript",7 issues/mês
docker/compose,2013-12-09T11:40:58Z,38048,"Go, Dockerfile, Makefile, HCL, HTML",27 issues/mês
harness/harness,2014-02-07T07:54:44Z,38025,"Go, TypeScript, SCSS, Shell, JavaScript",7 issues/mês
github/awesome-copilot,2025-06-11T16:57:39Z,38008,"Python, JavaScript, HTML, Astro, CSS",150 issues/mês
hyprwm/Hyprland,2022-03-16T19:49:13Z,37952,"C++, GLSL, Shell, CMake, Nix",60 issues/mês
vlang/v,2019-02-08T02:57:06Z,37797,"V, C, Objective-C, Shell, Makefile",100 issues/mês
PostHog/posthog,2020-01-23T22:46:58Z,37774,"Python, TypeScript, Rust, HCL, JavaScript",Múltiplas issues no mesmo dia
FreeCodeCampChina/freecodecamp.cn,2016-09-30T03:13:43Z,37774,"CSS, JavaScript, HTML",0 issues/mês
servo/servo,2012-02-08T19:07:25Z,37734,"Rust, HTML, Python, WebIDL, JavaScript",300 issues/mês
anthropics/prompt-eng-interactive-tutorial,2024-04-02T15:52:00Z,37711,"Jupyter Notebook, Python",2 issues/mês
denysdovhan/wtfjs,2017-07-14T15:42:12Z,37674,"JavaScript, Shell",0 issues/mês
Wei-Shaw/sub2api,2025-12-18T02:26:18Z,37666,"Go, Vue, TypeScript, Shell, PLpgSQL",Múltiplas issues no mesmo dia
TencentARC/GFPGAN,2021-03-19T06:18:20Z,37660,Python,1 issues/mês
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,2023-03-27T09:59:10Z,37649,"Python, C++, PowerShell, CMake, C",33 issues/mês
NervJS/taro,2018-04-08T09:32:26Z,37643,"TypeScript, JavaScript, SCSS, Rust, HTML",7 issues/mês
fengdu78/Coursera-ML-AndrewNg-Notes,2017-11-04T10:04:08Z,37590,"HTML, Jupyter Notebook, Python",0 issues/mês
shiyu-coder/Kronos,2025-07-01T02:54:32Z,37571,"Python, HTML, Shell",21 issues/mês
karpathy/LLM101n,2024-05-27T00:23:38Z,37506,Sem linguagem,Sem issues
TriliumNext/Trilium,2017-05-23T00:30:20Z,37502,"TypeScript, Fluent, CSS, HTML, JavaScript",150 issues/mês
aquasecurity/trivy,2019-04-11T01:01:07Z,37500,"Go, Go Template, Shell, Mustache, Yacc",25 issues/mês
alibaba/arthas,2018-08-29T17:15:57Z,37495,"Java, JavaScript, Vue, TypeScript, HTML",7 issues/mês
directus/directus,2012-12-12T01:35:36Z,37468,"TypeScript, Vue, JavaScript, SCSS, Liquid",37 issues/mês
alebcay/awesome-shell,2014-07-07T01:57:42Z,37463,Sem linguagem,0 issues/mês
PKUanonym/REKCARC-TSC-UHT,2019-04-05T03:31:23Z,37432,"HTML, C, C++, Verilog, Jupyter Notebook",0 issues/mês
stanfordnlp/dspy,2023-01-09T21:01:51Z,37417,"Python, JavaScript",27 issues/mês
LAION-AI/Open-Assistant,2022-12-13T05:24:17Z,37407,"Python, TypeScript, JavaScript, Shell, Mako",0 issues/mês
exacity/deeplearningbook-chinese,2016-12-07T11:46:51Z,37362,"TeX, Python, Shell, Makefile",0 issues/mês
pbatard/rufus,2011-11-19T19:12:05Z,37351,"C, C++, Makefile, C#, Shell",10 issues/mês
eugenp/tutorials,2013-04-29T18:26:36Z,37325,"Java, HTML, JavaScript, TypeScript, CSS",0 issues/mês
openai/gym,2016-04-27T14:59:16Z,37240,"Python, Dockerfile, Shell",0 issues/mês
0voice/interview_internal_reference,2019-06-10T06:54:19Z,37236,Python,0 issues/mês
myshell-ai/OpenVoice,2023-11-29T12:17:01Z,37159,"Python, Jupyter Notebook",5 issues/mês
SagerNet/sing-box,2022-06-30T13:27:22Z,37132,"Go, Shell, Objective-C, Makefile, C",150 issues/mês
IceWhaleTech/CasaOS,2021-09-26T02:33:09Z,37098,"Go, Shell, HTML, Makefile",11 issues/mês
huggingface/pytorch-image-models,2019-02-02T05:51:12Z,37075,"Python, MDX, Shell",2 issues/mês
markedjs/marked,2011-07-24T13:15:51Z,37065,"JavaScript, TypeScript, HTML",7 issues/mês
lfnovo/open-notebook,2024-10-21T17:58:46Z,37062,"TypeScript, Python, Shell, Jinja, CSS",23 issues/mês
satwikkansal/wtfpython,2017-08-28T20:22:19Z,37059,Python,0 issues/mês
patchy631/ai-engineering-hub,2024-10-21T10:43:24Z,37033,"Jupyter Notebook, Python, TypeScript, CSS, HTML",1 issues/mês
fastify/fastify,2016-09-28T19:10:14Z,37006,"JavaScript, TypeScript, Shell",9 issues/mês
mouredev/Hello-Python,2022-08-03T17:14:53Z,36996,Python,5 issues/mês
Textualize/textual,2021-04-08T15:24:47Z,36975,"Python, Tree-sitter Query, Jinja, TypeScript, Makefile",13 issues/mês
AobingJava/JavaFamily,2019-11-12T04:26:18Z,36974,Sem linguagem,0 issues/mês
babysor/MockingBird,2021-08-07T03:53:39Z,36909,"Python, Shell, Cython, Dockerfile",0 issues/mês
soxoj/maigret,2020-06-27T14:16:42Z,36886,"Python, HTML, Go Template, Batchfile, Makefile",23 issues/mês
CopilotKit/CopilotKit,2023-06-19T04:08:31Z,36847,"TypeScript, MDX, Python, Shell, C#",25 issues/mês
shadowsocks/shadowsocks-android,2012-12-16T13:40:29Z,36756,"Kotlin, Shell, Python, Makefile, HTML",3 issues/mês
musistudio/claude-code-router,2025-02-25T02:17:18Z,36728,"TypeScript, JavaScript, CSS, HTML, Shell",150 issues/mês
Dokploy/dokploy,2024-04-19T07:49:30Z,36717,"TypeScript, Go, CSS, Dockerfile, JavaScript",300 issues/mês
ashishpatel26/500-AI-Agents-Projects,2024-12-20T13:37:15Z,36696,"Python, JavaScript, CSS, HTML",8 issues/mês
veggiemonk/awesome-docker,2014-09-21T17:01:48Z,36668,Sem linguagem,4 issues/mês
google-ai-edge/mediapipe,2019-06-13T19:16:41Z,36664,"C++, Python, Starlark, Java, Objective-C",11 issues/mês
ZuodaoTech/everyone-can-use-english,2019-03-15T16:33:53Z,36662,"TypeScript, Metal, Jupyter Notebook, HTML, JavaScript",10 issues/mês
microsoft/Data-Science-For-Beginners,2021-03-03T16:30:15Z,36654,"Jupyter Notebook, Vue, HTML, JavaScript",1 issues/mês
date-fns/date-fns,2014-10-06T10:24:22Z,36629,"TypeScript, JavaScript, Shell, Makefile, CSS",6 issues/mês
typeorm/typeorm,2016-02-29T07:41:14Z,36629,"TypeScript, JavaScript",23 issues/mês
jaywcjlove/linux-command,2016-11-12T15:44:26Z,36615,"Markdown, HTML, JavaScript, Stylus, Go Template",0 issues/mês
mpv-player/mpv,2012-10-13T08:08:44Z,36594,"C, Lua, Swift, Meson, Python",75 issues/mês
1Panel-dev/1Panel,2022-07-19T15:44:52Z,36575,"Go, Vue, Shell, Makefile, JavaScript",150 issues/mês
khoj-ai/khoj,2021-08-16T01:48:44Z,36559,"Python, TypeScript, CSS, HTML, Emacs Lisp",12 issues/mês
blader/humanizer,2026-01-18T05:30:15Z,36557,Python,21 issues/mês
inkonchain/docs,2024-05-07T16:49:36Z,36524,"MDX, TypeScript, JavaScript, CSS, Dockerfile",0 issues/mês
xinntao/Real-ESRGAN,2021-07-19T03:23:30Z,36518,Python,2 issues/mês
songquanpeng/one-api,2023-04-22T12:39:24Z,36482,"JavaScript, Go, SCSS, CSS, HTML",7 issues/mês
nextcloud/server,2016-06-02T07:44:14Z,36478,"PHP, JavaScript, TypeScript, Vue, Gherkin",300 issues/mês
inkonchain/node,2024-05-13T23:20:40Z,36477,Shell,0 issues/mês
hankcs/HanLP,2014-10-09T06:36:16Z,36477,"Python, Jupyter Notebook, Java",0 issues/mês
doocs/leetcode,2018-09-16T14:03:03Z,36476,"Java, C++, Python, TypeScript, Go",0 issues/mês
glanceapp/glance,2024-04-27T18:55:38Z,36459,"Go, HTML, JavaScript, CSS, Go Template",6 issues/mês
HKUDS/DeepTutor,2025-12-28T15:35:54Z,36453,"Python, TypeScript, CSS, JavaScript, Dockerfile",300 issues/mês
open-guides/og-aws,2016-07-13T17:30:16Z,36442,Shell,0 issues/mês
inkonchain/ink-kit,2024-11-04T16:32:17Z,36384,"TypeScript, CSS, JavaScript, MDX, Dockerfile",0 issues/mês
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2021-01-02T12:08:37Z,36383,Sem linguagem,0 issues/mês
tinyhumansai/openhuman,2026-02-18T20:01:27Z,36380,"Rust, TypeScript, JavaScript, Shell, CSS",100 issues/mês
GorvGoyl/Clone-Wars,2020-12-02T11:10:16Z,36376,Sem linguagem,0 issues/mês
formulahendry/955.WLB,2019-03-27T23:53:37Z,36357,Sem linguagem,0 issues/mês
SheetJS/sheetjs,2012-12-03T19:25:52Z,36322,Sem linguagem,0 issues/mês
reworkd/AgentGPT,2023-04-07T02:29:19Z,36307,"TypeScript, Python, JavaScript, MDX, CSS",0 issues/mês
microsoft/playwright-mcp,2025-03-21T17:48:36Z,36280,"TypeScript, JavaScript, Dockerfile",9 issues/mês
keycloak/keycloak,2013-07-02T13:38:51Z,36279,"Java, TypeScript, FreeMarker, JavaScript, Shell",Múltiplas issues no mesmo dia
ItzCrazyKns/Vane,2024-04-09T10:51:32Z,36252,"TypeScript, Dockerfile, CSS, JavaScript, Slim",7 issues/mês
PDFMathTranslate/PDFMathTranslate,2024-09-06T06:56:03Z,36226,"Python, PowerShell, Dockerfile, Batchfile, Standard ML",5 issues/mês
AdguardTeam/AdGuardHome,2016-07-06T10:31:47Z,36222,"TypeScript, Go, CSS, Shell, JavaScript",37 issues/mês
jax-ml/jax,2018-10-25T21:25:02Z,36179,"Python, C++, Starlark, Shell, Jupyter Notebook",75 issues/mês
firecracker-microvm/firecracker,2017-10-19T06:18:47Z,36146,"Rust, Python, Shell, C, Dockerfile",6 issues/mês
hashicorp/vault,2015-02-25T00:15:59Z,36141,"Go, JavaScript, TypeScript, Handlebars, HCL",14 issues/mês
pnpm/pnpm,2016-01-28T07:40:43Z,36139,"Rust, TypeScript, JavaScript, Shell, Just",300 issues/mês
geekxh/hello-algorithm,2020-05-29T05:47:09Z,36091,Java,0 issues/mês
carbon-app/carbon,2017-06-16T02:50:28Z,36090,"JavaScript, Shell",0 issues/mês
lerna/lerna,2015-12-04T09:36:55Z,36050,"TypeScript, JavaScript, Shell, CSS, Batchfile",2 issues/mês
Yuan1z0825/nature-skills,2026-04-24T03:11:46Z,36045,"Python, JavaScript, HTML, Shell, TeX",9 issues/mês
slatedocs/slate,2013-09-13T22:15:24Z,36039,Sem linguagem,0 issues/mês
zsh-users/zsh-autosuggestions,2013-10-26T16:09:37Z,35996,"Shell, Ruby, Makefile, Dockerfile",1 issues/mês
Crosstalk-Solutions/project-nomad,2025-06-24T15:35:01Z,35994,"TypeScript, Shell, Python, Dockerfile, CSS",50 issues/mês
chatwoot/chatwoot,2019-08-14T06:50:51Z,35986,"Ruby, Vue, JavaScript, HTML, Liquid",60 issues/mês
medusajs/medusa,2020-01-18T13:39:04Z,35907,"TypeScript, JavaScript, Shell, Handlebars, CSS",75 issues/mês
filebrowser/filebrowser,2015-09-11T21:21:58Z,35906,"Go, Vue, TypeScript, CSS, HTML",14 issues/mês
wailsapp/wails,2018-12-15T23:14:06Z,35891,"Go, HTML, TypeScript, CSS, JavaScript",60 issues/mês
solidjs/solid,2018-04-24T16:36:27Z,35868,"TypeScript, JavaScript, CSS",300 issues/mês
OpenBMB/VoxCPM,2025-09-16T03:41:49Z,35864,Python,9 issues/mês
XingangPan/DragGAN,2023-05-18T10:08:02Z,35767,"Python, Cuda, C++, Dockerfile, Batchfile",0 issues/mês
junegunn/vim-plug,2013-09-10T14:58:51Z,35749,"Vim Script, Shell",0 issues/mês
searxng/searxng,2021-04-12T15:18:15Z,35732,"Python, Shell, HTML, Less, TypeScript",42 issues/mês
alan2207/bulletproof-react,2021-05-30T14:47:16Z,35720,"TypeScript, JavaScript, CSS, Handlebars, HTML",0 issues/mês
airbnb/lottie-android,2016-10-06T22:42:42Z,35701,"Java, Kotlin, Shell, JavaScript",2 issues/mês
jondot/awesome-react-native,2015-03-26T19:58:06Z,35691,"JavaScript, Makefile, CSS",0 issues/mês
koajs/koa,2013-07-20T18:53:45Z,35687,JavaScript,1 issues/mês
opentofu/manifesto,2023-08-13T16:17:24Z,35675,"HTML, CSS, JavaScript",0 issues/mês
permissionlesstech/bitchat,2025-07-04T14:34:38Z,35623,"Swift, Shell, Python, Rust, C",30 issues/mês
gchq/CyberChef,2016-11-28T10:34:07Z,35610,"JavaScript, HTML, CSS, Dockerfile",11 issues/mês
restic/restic,2014-04-27T14:07:58Z,35594,"Go, Shell, Go Template, Dockerfile, Makefile",16 issues/mês
microsoft/graphrag,2024-03-27T17:57:52Z,35580,"Python, Jupyter Notebook, TypeScript, Dockerfile, Shell",6 issues/mês
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,2015-03-28T16:52:40Z,35574,JavaScript,0 issues/mês
continuedev/continue,2023-05-24T03:39:39Z,35542,"TypeScript, JavaScript, Kotlin, Python, Rust",60 issues/mês
refinedev/refine,2021-01-20T12:01:32Z,35533,"TypeScript, JavaScript, CSS, HTML, Handlebars",2 issues/mês
drizzle-team/drizzle-orm,2021-06-24T09:03:05Z,35519,"TypeScript, JavaScript",33 issues/mês
jqlang/jq,2012-07-18T19:57:25Z,35471,"C, M4, Shell, Yacc, jq",12 issues/mês
alvarotrigo/fullPage.js,2013-09-20T11:58:29Z,35409,"JavaScript, HTML, CSS",1 issues/mês
casey/just,2016-06-17T06:08:08Z,35370,"Rust, Shell, Just, Nix, CSS",15 issues/mês
tailscale/tailscale,2020-01-31T22:00:03Z,35355,"Go, C, TypeScript, Shell, Swift",300 issues/mês
kuchin/awesome-cto,2016-12-16T19:22:18Z,35342,Sem linguagem,0 issues/mês
nativefier/nativefier,2015-07-05T05:56:42Z,35285,"TypeScript, JavaScript, Shell, Dockerfile, CSS",6 issues/mês
typicode/husky,2014-06-23T12:14:21Z,35277,"JavaScript, Shell",1 issues/mês
geekcomputers/Python,2011-11-30T09:04:08Z,35263,"Python, Jupyter Notebook, Cuda, Tcl, HTML",4 issues/mês
VectifyAI/PageIndex,2025-04-01T10:53:54Z,35249,Python,9 issues/mês
sahat/hackathon-starter,2013-11-13T17:24:12Z,35245,"JavaScript, Pug, HTML, SCSS, Shell",2 issues/mês
blakeblackshear/frigate,2019-01-26T13:52:38Z,35222,"TypeScript, Python, Shell, CSS, Dockerfile",37 issues/mês
fxsjy/jieba,2012-09-29T07:52:01Z,35123,"Python, OpenEdge ABL",1 issues/mês
geekan/HowToLiveLonger,2022-04-16T04:15:18Z,35102,Sem linguagem,0 issues/mês
DayuanJiang/next-ai-draw-io,2025-03-23T15:03:48Z,35061,"TypeScript, JavaScript, CSS, HTML, Dockerfile",9 issues/mês
utmapp/UTM,2019-04-12T16:09:24Z,35055,"Swift, Objective-C, Shell, C, Python",30 issues/mês
hehonghui/awesome-english-ebooks,2022-06-28T02:45:44Z,35041,CSS,Sem issues
netty/netty,2010-11-09T09:22:21Z,35039,"Java, C, HTML, Shell, JavaScript",33 issues/mês
unknwon/the-way-to-go_ZH_CN,2013-03-24T17:18:38Z,35037,"Go, HTML, JavaScript, CSS, Makefile",Sem issues
bumptech/glide,2013-07-08T22:52:33Z,35026,"Java, Kotlin, Shell, CSS",3 issues/mês
sorrycc/awesome-javascript,2014-07-01T15:59:02Z,35015,Sem linguagem,3 issues/mês
zellij-org/zellij,2020-09-01T14:04:28Z,34998,"Rust, JavaScript, CSS, Shell, HTML",50 issues/mês
awesome-foss/awesome-sysadmin,2014-12-23T08:41:22Z,34928,Sem linguagem,0 issues/mês
laravel/framework,2013-01-10T21:27:28Z,34874,"PHP, Blade, Shell, CSS, JavaScript",37 issues/mês
gitroomhq/postiz-app,2023-07-08T17:24:22Z,34866,"TypeScript, JavaScript, CSS, SCSS, Shell",37 issues/mês
esengine/DeepSeek-Reasonix,2026-04-21T08:27:02Z,34857,"Go, TypeScript, CSS, Python, JavaScript",Múltiplas issues no mesmo dia
facebookresearch/detectron2,2019-09-05T21:30:20Z,34675,"Python, Cuda, C++, Shell, Dockerfile",3 issues/mês
qishibo/AnotherRedisDesktopManager,2019-01-08T06:01:56Z,34643,"JavaScript, SCSS, HTML",4 issues/mês
TheAlgorithms/C-Plus-Plus,2016-07-16T10:19:45Z,34588,"C++, CMake, Python, Dockerfile",4 issues/mês
BVLC/caffe,2013-09-12T18:39:48Z,34560,"C++, Python, Cuda, CMake, MATLAB",300 issues/mês
lissy93/web-check,2023-06-25T14:32:11Z,34541,"TypeScript, JavaScript, Astro, SCSS, HTML",3 issues/mês
ocrmypdf/OCRmyPDF,2013-12-20T08:26:28Z,34500,"Python, Shell, Dockerfile",9 issues/mês
v2fly/v2ray-core,2019-04-15T10:05:54Z,34491,"Go, Shell, Assembly, Dockerfile, Makefile",8 issues/mês
kovidgoyal/kitty,2016-10-16T14:48:28Z,34474,"Python, C, Go, Objective-C, Slang",60 issues/mês
nothings/stb,2014-05-25T16:51:23Z,34442,"C, C++, Shell, Makefile, Batchfile",7 issues/mês
anthropics/financial-services,2026-02-23T19:24:50Z,34404,"Python, Shell, PowerShell, JavaScript",4 issues/mês
raysan5/raylib,2013-10-24T15:46:04Z,34397,"C, Lua, Makefile, Zig, CMake",50 issues/mês
derailed/k9s,2019-01-25T18:46:02Z,34390,"Go, Makefile, Dockerfile, Shell",20 issues/mês
SeleniumHQ/selenium,2013-01-14T21:40:56Z,34381,"Java, C#, C++, JavaScript, Python",15 issues/mês
CMU-Perceptual-Computing-Lab/openpose,2017-04-24T14:06:31Z,34373,"C++, Cuda, CMake, Shell, HCL",1 issues/mês
huggingface/diffusers,2022-05-30T16:04:02Z,34344,"Python, Dockerfile, Makefile",75 issues/mês
xitu/gold-miner,2015-11-04T03:29:13Z,34329,Sem linguagem,0 issues/mês
jaredpalmer/formik,2017-06-14T19:50:59Z,34323,"TypeScript, JavaScript, CSS, Shell",1 issues/mês
nodejs/node-v0.x-archive,2009-05-27T16:29:46Z,34290,Sem linguagem,1 issues/mês
python-poetry/poetry,2018-02-28T15:23:47Z,34288,"Python, HTML",6 issues/mês
TheAlgorithms/JavaScript,2017-07-13T06:12:33Z,34217,"JavaScript, TypeScript, Shell",1 issues/mês
openai/CLIP,2020-12-16T11:24:42Z,34196,"Jupyter Notebook, Python",1 issues/mês
balena-io/etcher,2015-10-27T16:53:23Z,34192,"TypeScript, JavaScript, CSS, Shell, HTML",4 issues/mês
backstage/backstage,2020-01-24T22:39:49Z,34182,"TypeScript, MDX, JavaScript, CSS, Handlebars",37 issues/mês
swc-project/swc,2017-12-22T11:40:14Z,34177,"Rust, JavaScript, TypeScript, Shell, SCSS",23 issues/mês
ehang-io/nps,2018-11-04T13:22:51Z,34168,"Go, Shell, Makefile",1 issues/mês
seaweedfs/seaweedfs,2014-07-14T16:41:37Z,34144,"Go, Rust, templ, Java, Shell",100 issues/mês
zenorocha/clipboard.js,2015-09-18T23:04:55Z,34122,"JavaScript, TypeScript, Shell",0 issues/mês
lightpanda-io/browser,2023-02-07T15:19:34Z,34113,"Zig, HTML, Rust, JavaScript, Makefile",23 issues/mês
testerSunshine/12306,2017-05-17T12:23:40Z,34093,"Python, Shell, Dockerfile",0 issues/mês
aristocratos/btop,2021-05-06T18:40:21Z,34092,"C++, C, Makefile, CMake",16 issues/mês
xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,34082,"Java, HTML, TSQL, PLpgSQL, Lua",0 issues/mês
agentscope-ai/QwenPaw,2026-02-24T03:42:56Z,34078,"Python, TypeScript, Less, Rust, JavaScript",Múltiplas issues no mesmo dia
lllyasviel/ControlNet,2023-02-01T02:43:30Z,34076,"Python, Shell",1 issues/mês
zxing/zxing,2011-10-12T14:07:27Z,34070,"Java, HTML, CSS",2 issues/mês
qdrant/qdrant,2020-05-30T21:37:01Z,34062,"Rust, Python, Shell, C, Nix",42 issues/mês
OpenBMB/ChatDev,2023-08-28T02:18:13Z,34049,"Python, Vue, JavaScript, CSS, Dockerfile",4 issues/mês
fish-shell/fish-shell,2012-05-10T03:00:55Z,34034,"Rust, Shell, Python, HTML, JavaScript",42 issues/mês
chenfei-wu/TaskMatrix,2023-03-02T09:04:28Z,34010,"Python, HTML, Dockerfile",0 issues/mês
MonitorControl/MonitorControl,2017-09-16T21:13:40Z,33995,"Swift, Objective-C",2 issues/mês
atlassian/react-beautiful-dnd,2017-08-09T03:37:15Z,33949,"JavaScript, HTML",1 issues/mês
NginxProxyManager/nginx-proxy-manager,2017-12-20T23:01:16Z,33908,"TypeScript, JavaScript, Shell, Dockerfile, CSS",18 issues/mês
K-Dense-AI/scientific-agent-skills,2025-10-19T20:54:15Z,33904,"Python, TeX, HTML, BibTeX Style, Shell",5 issues/mês
pcottle/learnGitBranching,2012-08-13T22:36:09Z,33900,"JavaScript, HTML, CSS, Makefile, Dockerfile",8 issues/mês
lib-pku/libpku,2018-11-22T13:33:06Z,33869,"TeX, JavaScript",0 issues/mês
carbon-language/carbon-lang,2020-04-27T21:45:16Z,33860,"C++, Starlark, Python, Carbon, JavaScript",10 issues/mês
explosion/spaCy,2014-07-03T15:15:40Z,33831,"Python, MDX, Cython, JavaScript, Sass",6 issues/mês
TabbyML/tabby,2023-03-16T09:18:01Z,33828,"Rust, Python, HTML, Tree-sitter Query, TypeScript",5 issues/mês
halfrost/LeetCode-Go,2017-07-18T00:06:14Z,33792,"Go, JavaScript, Python, CSS, Shell",0 issues/mês
k3s-io/k3s,2018-05-31T01:37:46Z,33763,"Go, Shell, HCL, Go Template, Ruby",16 issues/mês
SerenityOS/serenity,2018-12-02T19:28:41Z,33762,"C++, JavaScript, HTML, Shell, CMake",9 issues/mês
mli/paper-reading,2021-10-22T06:34:51Z,33708,Sem linguagem,Sem issues
anthropics/claude-plugins-official,2025-11-20T18:36:20Z,33695,"Python, HTML, JavaScript, TypeScript, Shell",100 issues/mês
Pythagora-io/gpt-pilot,2023-08-16T11:56:07Z,33694,"Python, TypeScript, JavaScript, Smarty, CSS",0 issues/mês
alibaba/easyexcel,2018-02-06T03:14:08Z,33671,Java,9 issues/mês
valinet/ExplorerPatcher,2021-08-09T14:17:24Z,33661,"C, C++, Batchfile, Assembly",60 issues/mês
anoma/anoma,2021-02-02T10:00:16Z,33659,"Elixir, Shell, Makefile",6 issues/mês
Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,33636,"Java, Kotlin, Groovy, Shell",1 issues/mês
binwiederhier/ntfy,2021-10-23T19:25:32Z,33613,"Go, JavaScript, Makefile, Shell, HTML",16 issues/mês
bayandin/awesome-awesomeness,2014-07-08T05:44:19Z,33609,Ruby,0 issues/mês
shadowsocks/shadowsocks,2012-04-20T13:10:49Z,33562,"Python, Shell",Sem issues
apache/kafka,2011-08-15T18:06:16Z,33554,"Java, Scala, Python, Shell, Batchfile",Sem issues
tinygrad/tinygrad,2020-10-18T16:23:12Z,33466,"Python, C, Cuda, C++, Metal",14 issues/mês
XX-net/XX-Net,2015-01-15T09:35:51Z,33451,"Python, HTML, CSS, JavaScript, Shell",3 issues/mês
microsoft/WSL,2016-04-06T17:32:56Z,33442,"C++, C, C#, CMake, PowerShell",60 issues/mês
AFNetworking/AFNetworking,2011-05-31T21:28:44Z,33395,"Objective-C, Swift, Ruby, C, Shell",Sem issues
langfuse/langfuse,2023-05-18T17:47:09Z,33389,"TypeScript, JavaScript, Shell, CSS, Python",300 issues/mês
nicolargo/glances,2011-12-04T08:49:15Z,33379,"Python, Vue, Shell, Makefile, Jupyter Notebook",25 issues/mês
lutzroeder/netron,2010-12-26T12:53:43Z,33367,"JavaScript, Python, Shell, HTML, CSS",3 issues/mês
MetaCubeX/mihomo,2021-05-20T11:06:33Z,33360,Python,100 issues/mês
mckaywrigley/chatbot-ui,2023-03-11T14:53:14Z,33337,"TypeScript, PLpgSQL, JavaScript, CSS, Shell",2 issues/mês
google/comprehensive-rust,2022-12-21T15:17:24Z,33316,"Rust, JavaScript, TypeScript, Handlebars, Starlark",3 issues/mês
