Repositorio,Criado Em,Estrelas,Tags
syncthing/syncthing,2013-11-26T09:48:21Z,87794,687
ByteByteGoHq/system-design-101,2023-09-18T20:52:03Z,87327,0
odysseus-dev/odysseus,2026-05-31T14:05:51Z,85735,0
OpenCut-app/OpenCut,2025-06-22T08:02:17Z,85174,4
laravel/laravel,2011-06-08T03:06:08Z,84824,299
macrozheng/mall,2018-04-04T01:11:44Z,84574,4
OpenHands/OpenHands,2024-03-13T03:33:31Z,84489,179
bregman-arie/devops-exercises,2019-10-03T17:31:21Z,84154,0
DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,84120,0
realworld-apps/realworld,2016-02-26T20:49:53Z,84108,0
koala73/worldmonitor,2026-01-08T17:26:06Z,83167,59
Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,83122,0
animate-css/animate.css,2011-10-12T10:07:38Z,82737,29
junegunn/fzf,2013-10-23T16:04:23Z,82582,178
fighting41love/funNLP,2018-08-21T11:20:39Z,82547,0
vitejs/vite,2020-04-21T05:03:57Z,82411,1040
tonsky/FiraCode,2014-11-11T19:32:38Z,81933,29
mlabonne/llm-course,2023-06-17T22:16:25Z,81834,0
lobehub/lobehub,2023-05-21T07:19:12Z,81827,3142
jesseduffield/lazygit,2018-05-19T00:53:06Z,81469,246
spring-projects/spring-boot,2012-10-19T15:02:57Z,81324,391
bytedance/deer-flow,2025-05-07T02:50:19Z,80324,8
TapXWorld/ChinaTextbook,2020-01-05T04:11:06Z,80283,0
netdata/netdata,2013-06-17T18:39:10Z,80229,154
swisskyrepo/PayloadsAllTheThings,2016-10-18T07:29:07Z,80179,7
hoppscotch/hoppscotch,2019-08-21T13:15:24Z,80057,107
anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,79830,2
Egonex-AI/Understand-Anything,2026-03-15T02:30:51Z,79819,8
d2l-ai/d2l-zh,2017-08-23T04:40:24Z,79805,16
doocs/advanced-java,2018-10-06T11:38:30Z,79066,1
Z4nzu/hackingtool,2020-04-11T09:21:31Z,79032,3
coder/code-server,2019-02-27T16:50:41Z,78948,256
paperclipai/paperclip,2026-03-02T15:01:51Z,78877,1241
ventoy/Ventoy,2020-03-10T15:19:19Z,78820,115
unclecode/crawl4ai,2024-05-09T09:48:50Z,78701,59
awesomedata/awesome-public-datasets,2014-11-20T06:20:50Z,78147,2
Leonxlnx/taste-skill,2026-02-19T21:44:05Z,78123,0
