Repositorio,Criado Em,Estrelas,Linguagem Primaria,Linguagens
calcom/cal.diy,2021-03-22T13:47:42Z,47802,TypeScript,"TypeScript, CSS, HTML, PLpgSQL, JavaScript"
microsoft/qlib,2020-08-14T06:46:00Z,47753,Python,"Python, Cython, Makefile, Shell, JavaScript"
gogs/gogs,2014-02-12T01:57:08Z,47742,Go,"Go, Go Template, TypeScript, Less, JavaScript"
minimaxir/big-list-of-naughty-strings,2015-08-08T20:57:20Z,47707,Python,"Python, Go, Shell, Makefile"
bevyengine/bevy,2020-01-18T21:13:55Z,47702,Rust,"Rust, Go Template, HTML, Mermaid"
discourse/discourse,2013-01-12T00:25:55Z,47675,Ruby,"Ruby, JavaScript, SCSS, HTML, TypeScript"
lukasz-madon/awesome-remote-job,2015-01-02T00:31:34Z,47651,Sem linguagem,Sem linguagem
prisma/prisma,2019-06-20T13:33:47Z,47571,TypeScript,"TypeScript, JavaScript, HTML"
oobabooga/textgen,2022-12-21T04:17:37Z,47552,Python,"Python, CSS, JavaScript, Shell, Batchfile"
GitHubDaily/GitHubDaily,2018-12-30T13:56:58Z,47509,Sem linguagem,Sem linguagem
acmesh-official/acme.sh,2015-12-26T12:56:33Z,47489,Shell,"Shell, Dockerfile"
jeecgboot/JeecgBoot,2018-11-26T10:40:00Z,47415,Java,"Java, Vue, Less, TypeScript, Python"
dypsilon/frontend-dev-bookmarks,2013-06-22T13:23:55Z,47393,Sem linguagem,Sem linguagem
coreybutler/nvm-windows,2014-09-20T16:37:28Z,47390,Go,"Go, Inno Setup, JavaScript, Batchfile, VBScript"
slab/quill,2012-07-30T23:23:18Z,47304,TypeScript,"TypeScript, MDX, JavaScript, SCSS, Stylus"
rohitg00/ai-engineering-from-scratch,2026-03-18T18:38:02Z,47185,Python,"Python, JavaScript, TypeScript, HTML, Julia"
HKUDS/nanobot,2026-02-01T07:16:15Z,47175,Python,"Python, TypeScript, CSS, Shell, JavaScript"
typescript-cheatsheets/react,2018-06-02T04:08:16Z,47100,TypeScript,"TypeScript, JavaScript, CSS"
lysine-dev/okhttp,2012-07-23T13:42:55Z,47051,Kotlin,"Kotlin, Java, Shell"
elder-plinius/CL4R1T4S,2025-03-04T20:03:16Z,47041,Sem linguagem,Sem linguagem
gedoor/legado,2019-05-22T04:18:58Z,47009,Kotlin,"Kotlin, Java, HTML, CSS, Vue"
KeygraphHQ/shannon,2025-09-27T01:51:47Z,46939,TypeScript,"TypeScript, JavaScript, Typst, Dockerfile, Shell"
v2ray/v2ray-core,2015-09-04T11:42:53Z,46934,Go,"Go, Starlark, Shell, Dockerfile, Assembly"
serverless/serverless,2015-04-21T03:48:40Z,46917,JavaScript,"JavaScript, Python, Go, Java, Shell"
exo-explore/exo,2024-06-24T18:36:22Z,46885,Python,"Python, Svelte, Swift, TypeScript, Rust"
multica-ai/multica,2026-01-13T17:59:46Z,46838,Go,"Go, TypeScript, MDX, PLpgSQL, CSS"
kepano/obsidian-skills,2026-01-02T21:45:11Z,46782,Sem linguagem,Sem linguagem
Asabeneh/30-Days-Of-JavaScript,2019-12-23T14:07:40Z,46716,JavaScript,"JavaScript, HTML"
hiroi-sora/Umi-OCR,2022-03-28T04:01:46Z,46688,Python,"Python, QML"
SimplifyJobs/Summer2027-Internships,2020-05-23T20:53:18Z,46577,Python,Python
zhayujie/CowAgent,2022-08-07T08:33:41Z,46571,Python,"Python, TypeScript, JavaScript, HTML, CSS"
microsoft/monaco-editor,2016-06-07T16:56:31Z,46556,JavaScript,"JavaScript, TypeScript, HTML, CSS, SCSS"
apache/airflow,2015-04-13T18:04:58Z,46536,Python,"Python, TypeScript, Go, JavaScript, Shell"
usebruno/bruno,2022-09-27T20:51:45Z,46408,JavaScript,"JavaScript, TypeScript, Bru, HTML, CSS"
LeCoupa/awesome-cheatsheets,2017-11-09T02:47:15Z,46377,JavaScript,"JavaScript, CSS, Shell, PHP, TypeScript"
9001/copyparty,2019-05-26T15:28:33Z,46307,Python,"Python, JavaScript, Shell, CSS, HTML"
docker/awesome-compose,2020-02-13T08:51:42Z,46119,HTML,"HTML, Dockerfile, Rust, TypeScript, Java"
ziishaned/learn-regex,2017-07-22T12:21:03Z,46078,Sem linguagem,Sem linguagem
Alishahryar1/free-claude-code,2026-01-28T19:02:30Z,46071,Python,"Python, PowerShell, Shell, JavaScript, CSS"
iina/iina,2016-12-19T07:18:45Z,46010,Swift,"Swift, Objective-C, Shell, Ruby, Rich Text Format"
RocketChat/Rocket.Chat,2015-05-19T07:36:09Z,46005,TypeScript,"TypeScript, JavaScript, HTML, SCSS, PEG.js"
jgm/pandoc,2010-03-20T20:34:23Z,45938,Haskell,"Haskell, Roff, Rich Text Format, HTML, Lua"
coqui-ai/TTS,2020-05-20T15:45:28Z,45917,Python,"Python, Jupyter Notebook, HTML, Shell, Makefile"
cli/cli,2019-10-03T15:24:53Z,45890,Go,"Go, Shell, Makefile, PowerShell, Batchfile"
siyuan-note/siyuan,2020-08-30T09:21:35Z,45888,TypeScript,"TypeScript, Go, JavaScript, SCSS, HTML"
helix-editor/helix,2020-06-01T04:26:56Z,45880,Rust,"Rust, Tree-sitter Query, Handlebars, Nix, CSS"
DIYgod/RSSHub,2018-04-02T14:43:21Z,45810,TypeScript,"TypeScript, JavaScript, Nix, Dockerfile, Shell"
DavidHDev/react-bits,2024-08-06T06:54:54Z,45810,JavaScript,"JavaScript, TypeScript, CSS, HTML"
android/architecture-samples,2016-02-05T13:42:07Z,45795,Kotlin,Kotlin
zhongyang219/TrafficMonitor,2017-07-30T02:51:17Z,45780,C++,"C++, C, Batchfile"
milvus-io/milvus,2019-09-16T06:43:43Z,45698,Go,"Go, C++, Python, Shell, Groovy"
google/zx,2021-05-05T05:50:01Z,45675,JavaScript,"JavaScript, TypeScript, Dockerfile"
karanpratapsingh/system-design,2022-08-15T18:59:54Z,45640,Sem linguagem,Sem linguagem
QuantumNous/new-api,2023-11-10T19:33:36Z,45607,Go,"Go, TypeScript, CSS, JavaScript, Makefile"
abhigyanpatwari/GitNexus,2025-08-02T23:20:31Z,45582,TypeScript,"TypeScript, JavaScript, Python, Shell, Jinja"
streamlit/streamlit,2019-08-24T00:14:52Z,45574,Python,"Python, TypeScript, JavaScript, Makefile, Shell"
ColorlibHQ/AdminLTE,2013-12-25T02:52:40Z,45546,Astro,"Astro, CSS, MDX, SCSS, TypeScript"
Leaflet/Leaflet,2010-09-22T16:57:44Z,45495,JavaScript,"JavaScript, HTML, CSS, Handlebars"
jestjs/jest,2013-12-10T00:18:04Z,45468,TypeScript,"TypeScript, JavaScript, CSS, Shell, Handlebars"
isocpp/CppCoreGuidelines,2015-08-19T20:22:52Z,45252,CSS,"CSS, Python, HTML, Makefile"
grpc/grpc,2014-12-08T18:58:53Z,45231,C++,"C++, Python, Starlark, C, Shell"
sickn33/agentic-awesome-skills,2026-01-14T17:48:09Z,45137,Python,"Python, JavaScript, Shell, HTML, TypeScript"
GitSquared/edex-ui,2017-01-28T09:35:02Z,45043,JavaScript,"JavaScript, CSS, HTML"
pyenv/pyenv,2012-08-31T06:57:52Z,45032,Shell,"Shell, Python, Makefile, C, Roff"
fastapi/full-stack-fastapi-template,2019-02-23T15:08:34Z,44959,TypeScript,"TypeScript, Python, HTML, CSS, Dockerfile"
MHSanaei/3x-ui,2023-02-09T19:16:57Z,44937,Go,"Go, TypeScript, Shell, CSS, JavaScript"
coreyhaines31/marketingskills,2026-01-15T19:45:23Z,44883,JavaScript,"JavaScript, HTML, Shell"
react-hook-form/react-hook-form,2019-03-05T23:47:10Z,44822,TypeScript,"TypeScript, JavaScript, CSS, HTML"
meteor/meteor,2012-01-19T01:58:17Z,44809,JavaScript,"JavaScript, TypeScript, Shell, Java, Swift"
sudheerj/reactjs-interview-questions,2018-05-31T17:17:01Z,44740,JavaScript,"JavaScript, TypeScript, CSS, HTML"
mitmproxy/mitmproxy,2010-02-16T04:10:13Z,44737,Python,"Python, TypeScript, JavaScript, Less, HTML"
DataTalksClub/data-engineering-zoomcamp,2021-10-21T09:32:50Z,44734,Jupyter Notebook,"Jupyter Notebook, Python, Java, Shell, HCL"
vercel/hyper,2016-07-01T06:01:21Z,44695,TypeScript,"TypeScript, Shell, NSIS, HTML, JavaScript"
files-community/Files,2019-01-04T18:19:14Z,44677,C#,"C#, C++"
vnpy/vnpy,2015-03-02T03:36:58Z,44617,Python,"Python, Shell, Batchfile"
getsentry/sentry,2010-08-30T22:06:41Z,44575,Python,"Python, TypeScript, MDX, HTML, Less"
logseq/logseq,2020-05-23T00:06:06Z,44510,Clojure,"Clojure, OCaml, JavaScript, CSS, Swift"
spf13/cobra,2013-09-03T20:40:26Z,44465,Go,"Go, Makefile"
charmbracelet/bubbletea,2020-01-10T21:04:03Z,44457,Go,Go
paperless-ngx/paperless-ngx,2022-02-12T21:56:52Z,44408,Python,"Python, TypeScript, HTML, SCSS, Shell"
NaiboWang/EasySpider,2020-07-18T02:41:27Z,44372,JavaScript,"JavaScript, Python, HTML, CSS, Vue"
AykutSarac/jsoncrack.com,2022-01-30T15:25:18Z,44298,TypeScript,"TypeScript, JavaScript, CSS, Dockerfile, Shell"
payloadcms/payload,2021-01-05T18:49:45Z,44268,TypeScript,"TypeScript, CSS, JavaScript, SCSS, Dockerfile"
sharkdp/fd,2017-05-09T21:27:10Z,44139,Rust,"Rust, Shell, Makefile, Awk"
janhq/jan,2023-08-17T02:17:10Z,44052,TypeScript,"TypeScript, Rust, Swift, Python, JavaScript"
streamich/react-use,2018-10-27T10:16:05Z,44019,TypeScript,"TypeScript, JavaScript"
parcel-bundler/parcel,2017-08-07T16:36:47Z,44019,JavaScript,"JavaScript, Rust, TypeScript, HTML, CSS"
Kong/kong,2014-11-17T23:56:08Z,44003,Lua,"Lua, Perl, Raku, Starlark, Shell"
yangshun/front-end-interview-handbook,2018-01-13T19:40:08Z,43990,JavaScript,"JavaScript, CSS, TypeScript"
babel/babel,2014-09-28T13:38:23Z,43986,TypeScript,"TypeScript, JavaScript, Shell, Makefile, HTML"
zen-browser/desktop,2024-03-28T00:05:55Z,43980,JavaScript,"JavaScript, Fluent, C++, HTML, CSS"
lysine-dev/retrofit,2010-09-06T21:39:43Z,43934,Java,"Java, Kotlin"
astaxie/build-web-application-with-golang,2012-08-02T11:49:35Z,43901,Go,"Go, Groovy, Shell, Python"
apache/spark,2014-02-25T08:00:08Z,43840,Scala,"Scala, Python, Java, Jupyter Notebook, HiveQL"
DataExpert-io/data-engineer-handbook,2023-11-19T19:47:41Z,43784,Jupyter Notebook,"Jupyter Notebook, Python, Makefile, Dockerfile, Shell"
aymericdamien/TensorFlow-Examples,2015-11-11T14:21:19Z,43732,Jupyter Notebook,"Jupyter Notebook, Python"
ccxt/ccxt,2017-05-14T15:41:56Z,43665,Python,"Python, C#, Go, TypeScript, Java"
ray-project/ray,2016-10-25T19:38:30Z,43558,Python,"Python, C++, Java, Starlark, TypeScript"
juspay/hyperswitch,2022-10-17T11:18:28Z,43502,Rust,"Rust, JavaScript, MDX, Shell, HTML"
colinhacks/zod,2020-03-07T20:59:08Z,43492,TypeScript,"TypeScript, MDX, HTML, JavaScript, CSS"
danielmiessler/Fabric,2024-01-03T23:18:31Z,43480,Go,"Go, Svelte, TypeScript, Python, Shell"
gradio-app/gradio,2018-12-19T08:24:04Z,43386,Python,"Python, TypeScript, Svelte, mdsvex, CSS"
Light-City/CPlusPlusThings,2019-07-14T08:45:45Z,43363,C++,"C++, Starlark, C"
ziglang/zig,2015-08-06T00:51:28Z,43316,Zig,"Zig, C, C++, Python, CMake"
alex/what-happens-when,2013-11-07T04:30:06Z,43293,Sem linguagem,Sem linguagem
Unitech/pm2,2013-05-21T03:25:25Z,43269,JavaScript,"JavaScript, Shell, Smarty, Go Template, Dockerfile"
HeyPuter/puter,2024-03-03T01:44:32Z,43106,TypeScript,"TypeScript, JavaScript, CSS, HTML, Shell"
zbezj/HEU_KMS_Activator,2019-06-23T00:49:35Z,43098,Sem linguagem,Sem linguagem
FuelLabs/fuels-rs,2021-10-31T22:33:54Z,43066,Rust,"Rust, Sway, Shell"
mifi/lossless-cut,2016-10-30T10:49:56Z,43038,TypeScript,"TypeScript, CSS, SCSS, JavaScript, HTML"
FuelLabs/fuels-ts,2021-09-03T18:11:03Z,43028,TypeScript,"TypeScript, Sway, JavaScript, CSS, Handlebars"
Imbad0202/academic-research-skills,2026-02-26T06:31:01Z,43022,Python,"Python, Shell, JavaScript, jq, TeX"
juanfont/headscale,2020-06-21T09:21:05Z,43004,Go,"Go, Nix, Shell, CSS, Makefile"
deepspeedai/DeepSpeed,2020-01-23T18:35:18Z,42962,Python,"Python, C++, Cuda, C, Shell"
faif/python-patterns,2012-06-06T21:02:35Z,42933,Python,"Python, Makefile, Shell"
curl/curl,2010-03-18T22:32:22Z,42639,C,"C, Perl, Python, M4, CMake"
k88hudson/git-flight-rules,2014-07-22T20:35:09Z,42595,Sem linguagem,Sem linguagem
mingrammer/diagrams,2020-02-02T15:23:24Z,42524,Python,"Python, TypeScript, CSS, JavaScript, HTML"
apachecn/ailearning,2017-02-25T08:53:02Z,42464,Python,"Python, JavaScript, CSS, Jupyter Notebook, HTML"
Alamofire/Alamofire,2014-07-31T05:56:19Z,42415,Swift,"Swift, Ruby"
danny-avila/LibreChat,2023-02-12T01:06:52Z,42233,TypeScript,"TypeScript, JavaScript, Go, CSS, Handlebars"
imputnet/cobalt,2022-07-08T18:12:55Z,42143,Svelte,"Svelte, JavaScript, TypeScript, CSS, HTML"
saadeghi/daisyui,2020-11-28T22:57:27Z,42126,JavaScript,"JavaScript, Svelte, HTML, CSS"
666ghj/BettaFish,2024-07-01T13:11:38Z,42039,Python,"Python, Jupyter Notebook, Dockerfile"
fastlane/fastlane,2014-12-02T17:00:38Z,42004,Ruby,"Ruby, Swift, HTML, Objective-C, Java"
LC044/WeChatMsg,2023-01-11T05:03:49Z,41972,Sem linguagem,Sem linguagem
nolimits4web/swiper,2012-03-14T19:11:45Z,41884,TypeScript,"TypeScript, JavaScript, CSS, HTML, Vue"
psf/black,2018-03-14T19:54:45Z,41808,Python,"Python, Vim Script, Jupyter Notebook, Dockerfile"
agno-agi/agno,2022-05-04T15:23:02Z,41784,Python,"Python, Shell, HTML, Batchfile, PowerShell"
hexojs/hexo,2012-09-23T15:17:08Z,41771,TypeScript,"TypeScript, JavaScript"
aria2/aria2,2010-11-27T09:41:48Z,41745,C++,"C++, C, M4, Makefile, Shell"
freefq/free,2020-06-07T02:48:33Z,41736,Sem linguagem,Sem linguagem
dylanaraps/pure-bash-bible,2018-06-13T01:39:33Z,41719,Shell,Shell
heygen-com/hyperframes,2026-03-10T01:51:06Z,41673,TypeScript,"TypeScript, JavaScript, Shell, Python, CSS"
chubin/cheat.sh,2017-05-07T21:40:56Z,41660,Python,"Python, Shell, HTML, Go, Dockerfile"
dcloudio/uni-app,2018-07-12T08:52:39Z,41598,JavaScript,"JavaScript, Swift, Objective-C, Kotlin, C++"
apache/dubbo,2012-06-19T07:56:02Z,41553,Java,"Java, Groovy, Mustache, Shell, Batchfile"
sxyazi/yazi,2023-07-08T11:45:55Z,41489,Rust,"Rust, Lua, JavaScript, Nix, Shell"
yarnpkg/yarn,2016-01-19T17:39:16Z,41485,JavaScript,"JavaScript, Shell, PowerShell, Groovy, Batchfile"
tabler/tabler,2018-02-01T09:08:59Z,41484,Astro,"Astro, TypeScript, SCSS, HTML, JavaScript"
chatboxai/chatbox,2023-03-06T12:22:15Z,41475,TypeScript,"TypeScript, JavaScript, CSS, EJS, HTML"
hpcaitech/ColossalAI,2021-10-28T16:19:44Z,41437,Python,"Python, Cuda, HTML, C++, Shell"
exelban/stats,2019-05-29T19:24:56Z,41294,Swift,"Swift, C++, Python, C, Objective-C"
nwjs/nw.js,2012-01-04T06:21:10Z,41161,JavaScript,"JavaScript, C++, Python, HTML, Objective-C++"
amruthpillai/reactive-resume,2020-03-25T14:08:22Z,41143,TypeScript,"TypeScript, CSS, JavaScript, Dockerfile, HTML"
styled-components/styled-components,2016-08-16T06:41:32Z,41122,TypeScript,"TypeScript, JavaScript, Ruby, Kotlin, Swift"
XTLS/Xray-core,2020-11-09T11:23:10Z,41116,Go,"Go, HTML, Shell, Assembly"
luongnv89/claude-howto,2025-11-07T22:59:34Z,41104,Python,"Python, Shell, HTML, Jinja, JavaScript"
vuetifyjs/vuetify,2016-09-12T00:39:35Z,41030,TypeScript,"TypeScript, Vue, Sass, SCSS, JavaScript"
bailicangdu/vue2-elm,2016-12-23T01:49:20Z,41026,Vue,"Vue, JavaScript, SCSS, HTML"
gkd-kit/gkd,2023-07-04T03:59:15Z,41008,Kotlin,"Kotlin, Java, AIDL"
zai-org/ChatGLM-6B,2023-03-13T12:00:18Z,40989,Python,"Python, Shell"
vercel-labs/agent-browser,2026-01-11T05:38:15Z,40949,Rust,"Rust, TypeScript, JavaScript, Shell, HTML"
goabstract/Awesome-Design-Tools,2019-02-12T13:55:30Z,40926,JavaScript,JavaScript
QSCTech/zju-icicles,2016-06-28T16:17:32Z,40872,HTML,"HTML, C, CSS, C++, Python"
Hmbown/CodeWhale,2026-01-19T18:21:01Z,40827,Rust,"Rust, TypeScript, JavaScript, Python, Shell"
vim/vim,2015-08-18T21:03:56Z,40772,Vim Script,"Vim Script, C, Roff, Makefile, C++"
facebookresearch/faiss,2017-02-07T16:07:05Z,40768,C++,"C++, Python, Cuda, Objective-C++, CMake"
ashishps1/awesome-system-design-resources,2023-10-25T01:50:42Z,40766,Java,"Java, Python"
appsmithorg/appsmith,2020-06-30T04:07:36Z,40707,TypeScript,"TypeScript, Java, JavaScript, CSS, Shell"
chatanywhere/GPT_API_free,2023-04-23T12:42:08Z,40692,Sem linguagem,Sem linguagem
remoteintech/remote-jobs,2015-10-13T03:49:25Z,40681,JavaScript,"JavaScript, Nunjucks, CSS, Shell"
bradtraversy/50projects50days,2020-11-16T14:39:01Z,40615,CSS,"CSS, HTML, JavaScript"
PatrickJS/awesome-cursorrules,2024-09-16T15:38:38Z,40612,JavaScript,JavaScript
GyulyVGC/sniffnet,2022-07-31T21:55:56Z,40601,Rust,"Rust, Rich Text Format, Shell, Dockerfile"
chakra-ui/chakra-ui,2019-08-17T14:27:54Z,40585,TypeScript,"TypeScript, MDX, JavaScript, CSS, HTML"
trpc/trpc,2020-07-18T01:17:11Z,40527,TypeScript,"TypeScript, MDX, JavaScript, CSS"
ToolJet/ToolJet,2021-03-30T08:51:34Z,40501,JavaScript,"JavaScript, TypeScript, SCSS, Dockerfile, Shell"
pingcap/tidb,2015-09-06T04:01:52Z,40448,Go,"Go, Starlark, Shell, Yacc, Jsonnet"
duckdb/duckdb,2018-06-26T15:04:45Z,40436,C++,"C++, Python, C, Swift, CMake"
wg/wrk,2012-03-20T11:12:28Z,40389,C,"C, Lua, Makefile, C++"
LizardByte/Sunshine,2021-12-15T23:38:57Z,40330,C++,"C++, CMake, HTML, Vue, Objective-C++"
php/php-src,2011-06-16T01:52:25Z,40297,C,"C, PHP, C++, Shell, M4"
nushell/nushell,2019-05-10T16:59:42Z,40295,Rust,"Rust, Nushell, Nix, Python, JavaScript"
CorentinTh/it-tools,2020-04-05T11:50:24Z,40287,Vue,"Vue, TypeScript, JavaScript, HTML, Dockerfile"
ManimCommunity/manim,2020-05-19T02:37:13Z,40261,Python,"Python, GLSL, Dockerfile, Jupyter Notebook, TeX"
outline/outline,2016-05-22T21:31:47Z,40248,TypeScript,"TypeScript, JavaScript, HTML, Dockerfile, Makefile"
phaserjs/phaser,2013-04-12T12:27:51Z,40170,JavaScript,"JavaScript, GLSL, TypeScript"
microsoft/BitNet,2024-08-05T09:07:38Z,40103,C++,"C++, Python, Shell, CMake, C"
photoprism/photoprism,2018-01-27T12:00:15Z,40089,Go,"Go, JavaScript, Vue, Dockerfile, CSS"
gofiber/fiber,2020-01-16T03:59:20Z,40069,Go,"Go, Makefile"
google-research/bert,2018-10-25T22:57:34Z,40047,Python,"Python, Jupyter Notebook"
langchain-ai/langgraph,2023-08-09T18:33:12Z,40025,Python,"Python, Makefile, TypeScript, JavaScript, Dockerfile"
evanw/esbuild,2016-06-14T16:08:50Z,40007,Go,"Go, JavaScript, TypeScript, Makefile, HTML"
Kong/insomnia,2016-04-23T03:54:26Z,39956,TypeScript,"TypeScript, CSS, JavaScript, MDX, C++"
schollz/croc,2017-10-17T15:20:18Z,39952,Go,"Go, TypeScript, CSS, Shell, JavaScript"
go-gorm/gorm,2013-10-25T08:31:38Z,39909,Go,"Go, Shell"
koalaman/shellcheck,2012-11-17T03:15:11Z,39894,Haskell,"Haskell, Shell, Dockerfile"
siddharthvaddem/openscreen,2025-10-10T05:36:55Z,39869,TypeScript,"TypeScript, C++, JavaScript, Swift, CSS"
videojs/video.js,2010-05-14T18:45:10Z,39860,JavaScript,"JavaScript, SCSS, CSS, HTML"
llvm/llvm-project,2016-12-07T09:39:33Z,39826,LLVM,"LLVM, C++, C, Assembly, MLIR"
2noise/ChatTTS,2024-05-27T18:26:49Z,39771,Python,"Python, Go, Shell"
vadimdemedes/ink,2017-06-12T06:12:28Z,39691,TypeScript,TypeScript
novuhq/novu,2021-08-26T15:22:44Z,39616,TypeScript,"TypeScript, JavaScript, Python, CSS, Shell"
mindsdb/mindshub,2018-08-02T17:56:45Z,39606,Makefile,"Makefile, Dockerfile"
qbittorrent/qBittorrent,2012-02-04T09:37:46Z,39569,C++,"C++, JavaScript, HTML, Python, CSS"
floodsung/Deep-Learning-Papers-Reading-Roadmap,2016-10-14T11:49:48Z,39547,Python,Python
DeusData/codebase-memory-mcp,2026-02-24T22:01:00Z,39546,C,"C, C++, Shell, Python, TypeScript"
google/styleguide,2015-05-20T19:18:59Z,39514,HTML,"HTML, XSLT, CSS, JavaScript, Emacs Lisp"
lm-sys/FastChat,2023-03-19T00:18:02Z,39511,Python,"Python, Jupyter Notebook, Shell, Dockerfile"
halo-dev/halo,2018-03-21T12:56:52Z,39505,Java,"Java, TypeScript, Vue, HTML, JavaScript"
bojieli/ai-agent-book,2025-09-09T02:41:44Z,39440,Python,"Python, JavaScript, TeX, TypeScript, HTML"
QuivrHQ/quivr,2023-05-12T23:53:30Z,39406,Python,"Python, Shell"
TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,39400,Java,"Java, Kotlin, HTML, Swift"
pola-rs/polars,2020-05-13T19:45:33Z,39394,Rust,"Rust, Python, Makefile, Nix, CSS"
AstrBotDevs/AstrBot,2022-12-08T13:27:46Z,39383,Python,"Python, Vue, TypeScript, JavaScript, HTML"
google/leveldb,2014-08-27T21:17:52Z,39336,C++,"C++, C, CMake"
freeCodeCamp/devdocs,2013-10-24T18:16:07Z,39310,Ruby,"Ruby, JavaScript, SCSS, HTML, CSS"
suno-ai/bark,2023-04-07T19:34:48Z,39239,Jupyter Notebook,"Jupyter Notebook, Python"
ShareX/ShareX,2013-10-08T23:32:10Z,39198,C#,"C#, PowerShell, Inno Setup, CSS, HTML"
drawdb-io/drawdb,2023-07-16T17:09:20Z,39161,JavaScript,"JavaScript, CSS, HTML, Dockerfile"
HKUDS/LightRAG,2024-10-02T11:57:54Z,38990,Python,"Python, TypeScript, Shell, JavaScript, CSS"
google/googletest,2015-07-28T15:07:53Z,38939,C++,"C++, Python, C, Starlark, CMake"
wshobson/agents,2025-07-24T23:28:14Z,38924,Python,"Python, C#, Shell, Makefile"
deepseek-ai/awesome-deepseek-integration,2024-01-11T02:43:17Z,38860,Sem linguagem,Sem linguagem
datalab-to/marker,2023-10-30T20:14:08Z,38860,Python,"Python, Shell"
mattermost/mattermost,2015-06-15T06:50:02Z,38840,TypeScript,"TypeScript, Go, JavaScript, SCSS, HTML"
aseprite/aseprite,2014-08-19T23:44:50Z,38837,C++,"C++, Lua, CMake, Shell, C"
rapid7/metasploit-framework,2011-08-30T06:13:20Z,38831,Ruby,"Ruby, PowerShell, C, Python, HTML"
RSSNext/Folo,2024-04-08T03:23:35Z,38826,TypeScript,"TypeScript, Swift, CSS, JavaScript, HTML"
preactjs/preact,2015-09-11T02:40:18Z,38824,JavaScript,"JavaScript, TypeScript"
Dogfalo/materialize,2014-09-12T19:35:38Z,38817,JavaScript,"JavaScript, CSS, HTML"
YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,38817,Java,"Java, PLpgSQL, TSQL, Python, Shell"
DioxusLabs/dioxus,2021-01-15T01:57:26Z,38812,Rust,"Rust, HTML, R, JavaScript, TypeScript"
spacedriveapp/spacedrive,2021-09-27T05:09:04Z,38794,Rust,"Rust, TypeScript, Python, Swift, Shell"
lapce/lapce,2018-02-06T08:41:06Z,38748,Rust,"Rust, Dockerfile, HCL, Makefile, Shell"
ajeetdsouza/zoxide,2020-03-05T13:11:40Z,38727,Rust,"Rust, Shell, Just, Nix"
ant-design/ant-design-pro,2017-08-25T10:40:44Z,38680,TypeScript,"TypeScript, JavaScript, CSS, Less"
Yeachan-Heo/oh-my-claudecode,2026-01-09T03:36:29Z,38669,TypeScript,"TypeScript, JavaScript, Shell, Python, Dockerfile"
bytedance/UI-TARS-desktop,2025-01-19T09:04:43Z,38642,TypeScript,"TypeScript, MDX, JavaScript, CSS, Less"
naptha/tesseract.js,2015-06-24T02:49:52Z,38638,JavaScript,"JavaScript, HTML"
gto76/python-cheatsheet,2018-01-25T04:16:53Z,38635,Python,"Python, JavaScript, HTML, CSS"
google-research/google-research,2018-10-04T18:42:48Z,38582,Jupyter Notebook,"Jupyter Notebook, Python, C++, JavaScript, Shell"
chatchat-space/Langchain-Chatchat,2023-03-31T12:12:45Z,38553,Python,"Python, Shell, Makefile, Dockerfile"
kilimchoi/engineering-blogs,2015-06-13T18:25:17Z,38524,Ruby,Ruby
huiyadanli/RevokeMsgPatcher,2019-07-21T15:12:52Z,38523,C#,C#
google/langextract,2025-07-08T20:46:06Z,38439,Python,"Python, Shell, Dockerfile"
httpie/cli,2012-02-25T12:39:13Z,38431,Python,"Python, Roff, Shell, Makefile, Dockerfile"
dotnet/aspnetcore,2014-03-11T06:09:42Z,38378,C#,"C#, HTML, TypeScript, C++, Java"
istio/istio,2016-11-18T23:57:21Z,38359,Go,"Go, Shell, Makefile, CSS, Jsonnet"
portainer/portainer,2016-05-19T20:15:28Z,38271,TypeScript,"TypeScript, Go, JavaScript, HTML, CSS"
frappe/erpnext,2011-06-08T08:20:56Z,38264,Python,"Python, JavaScript, TypeScript, HTML, SCSS"
umami-software/umami,2020-07-17T07:59:00Z,38258,TypeScript,"TypeScript, JavaScript, CSS, Dockerfile, Shell"
sqlmapproject/sqlmap,2012-06-26T09:52:15Z,38224,Python,"Python, Shell, C, Perl, C++"
PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,38194,Java,Java
impress/impress.js,2011-12-28T22:23:19Z,38174,JavaScript,"JavaScript, HTML, CSS"
huihut/interview,2018-02-09T09:49:48Z,38140,C++,"C++, C, CMake"
ueberdosis/tiptap,2018-08-20T19:58:58Z,38075,TypeScript,"TypeScript, JavaScript, Shell"
xyflow/xyflow,2019-07-15T14:47:30Z,38054,TypeScript,"TypeScript, Svelte, CSS, JavaScript"
docker/compose,2013-12-09T11:40:58Z,38048,Go,"Go, Dockerfile, Makefile, HCL, HTML"
harness/harness,2014-02-07T07:54:44Z,38025,Go,"Go, TypeScript, SCSS, Shell, JavaScript"
github/awesome-copilot,2025-06-11T16:57:39Z,38008,Python,"Python, JavaScript, HTML, Astro, CSS"
hyprwm/Hyprland,2022-03-16T19:49:13Z,37952,C++,"C++, GLSL, Shell, CMake, Nix"
vlang/v,2019-02-08T02:57:06Z,37797,V,"V, C, Objective-C, Shell, Makefile"
PostHog/posthog,2020-01-23T22:46:58Z,37775,Python,"Python, TypeScript, Rust, HCL, JavaScript"
